,MovieName,Year,Certificate,Runtime,Let_Rating,IMDb_Rating,Meta_Rating
0,Parasite,2019,R,133,4.57,8.6,96
1,Come and See,1985,Not Rated,142,4.65,8.3,0
2,The Godfather,1972,R,175,4.56,9.2,100
3,Harakiri,1962,Not Rated,135,4.68,8.6,85
4,The Godfather: Part II,1974,R,202,4.59,9.0,90
5,Seven Samurai,1954,Not Rated,207,4.6,8.6,98
6,12 Angry Men,1957,Approved,97,4.62,8.9,96
7,A Dog's Will,2000,N/A,104,3.99,-1.0,-1
8,The Human Condition III: A Soldier's Prayer,1961,N/A,190,4.54,-1.0,-1
9,Spirited Away,2001,PG,125,4.46,8.6,96
10,A Brighter Summer Day,1991,N/A,237,4.49,-1.0,-1
11,High and Low,1963,Not Rated,142,4.58,8.4,0
12,The Shawshank Redemption,1994,R,142,4.54,9.3,80
13,Portrait of a Lady on Fire,2019,R,120,4.44,8.1,95
14,Yi Yi,2000,N/A,173,4.53,-1.0,-1
15,Spider-Man: Into the Spider-Verse,2018,PG,117,4.43,8.4,87
16,The Dark Knight,2008,PG-13,152,4.46,9.0,84
17,GoodFellas,1990,R,145,4.47,8.7,90
18,The Empire Strikes Back,1980,PG,124,4.4,8.7,82
19,The Human Condition I: No Greater Love,1959,N/A,206,4.48,-1.0,-1
20,Schindler's List,1993,R,195,4.51,8.9,94
21,"The Good, the Bad and the Ugly",1966,R,161,4.49,8.8,90
22,Ikiru,1952,Not Rated,143,4.51,8.3,0
23,Stalker,1979,Not Rated,162,4.43,8.2,0
24,Satantango,1994,N/A,432,4.35,-1.0,-1
25,There Will Be Blood,2007,R,158,4.45,8.2,93
26,Central Station,1998,R,110,4.2,8.0,80
27,The Passion of Joan of Arc,1928,Passed,82,4.43,8.1,0
28,Persona,1966,Not Rated,83,4.42,8.1,86
29,City of God,2002,R,130,4.51,8.6,79
30,Sunset Boulevard,1950,N/A,110,4.44,-1.0,-1
31,Andrei Rublev,1966,R,183,4.42,8.1,0
32,Tokyo Story,1953,Not Rated,137,4.43,8.2,0
33,The Lord of the Rings: The Return of the King,2003,PG-13,201,4.49,8.9,94
34,Apocalypse Now,1979,R,147,4.44,8.4,94
35,Woman in the Dunes,1964,N/A,147,4.43,-1.0,-1
36,Pulp Fiction,1994,R,154,4.27,8.9,94
37,Ran,1985,R,160,4.49,8.2,96
38,In the Mood for Love,2000,PG,99,4.4,8.1,85
39,Neon Genesis Evangelion: The End of Evangelion,1997,TV-14,87,4.46,8.1,0
40,Barber's Tales,2013,N/A,120,3.83,-1.0,-1
41,Paths of Glory,1957,Approved,88,4.45,8.4,90
42,The Handmaiden,2016,Not Rated,145,4.41,8.1,84
43,The Human Condition II: Road to Eternity,1959,N/A,178,4.39,-1.0,-1
44,Whiplash,2014,R,107,4.43,8.5,88
45,Do the Right Thing,1989,N/A,120,4.4,-1.0,-1
46,2001: A Space Odyssey,1968,G,149,4.31,8.3,84
47,Grave of the Fireflies,1988,Not Rated,89,4.44,8.5,94
48,Fanny and Alexander,1982,R,188,4.4,8.1,100
49,Rear Window,1954,PG,112,4.37,8.4,100
50,"Paris, Texas",1984,R,145,4.4,8.1,78
51,Le Trou,1960,N/A,132,4.42,-1.0,-1
52,Psycho,1960,R,109,4.33,8.5,97
53,La Haine,1995,Not Rated,98,4.51,8.1,0
54,Princess Mononoke,1997,PG-13,134,4.37,8.4,76
55,The Silence of the Lambs,1991,R,119,4.33,8.6,85
56,Kisapmata,1981,N/A,99,4.01,-1.0,-1
57,A Woman Under the Influence,1974,N/A,155,4.38,-1.0,-1
58,Apur Sansar,1959,N/A,105,4.31,-1.0,-1
59,Scenes from a Marriage,1974,N/A,169,4.35,-1.0,-1
60,The Apartment,1960,Approved,125,4.43,8.3,94
61,Once Upon a Time in the West,1968,PG-13,166,4.38,8.5,80
62,The Shining,1980,R,144,4.25,8.4,66
63,Sansho the Bailiff,1954,N/A,124,4.37,-1.0,-1
64,Ordet,1955,N/A,125,4.32,-1.0,-1
65,Alien,1979,R,117,4.28,8.4,89
66,Autumn Sonata,1978,N/A,93,4.44,-1.0,-1
67,Mishima: A Life in Four Chapters,1985,N/A,121,4.4,-1.0,-1
68,Cinema Paradiso,1988,R,124,4.43,8.5,80
69,Pather Panchali,1955,N/A,125,4.29,-1.0,-1
70,Before Sunrise,1995,R,101,4.34,8.1,77
71,The Thing,1982,R,109,4.35,8.1,0
72,Oldboy,2003,R,120,4.4,8.4,77
73,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,179,4.36,8.8,92
74,It's Such a Beautiful Day,2012,N/A,62,4.38,-1.0,-1
75,Perfect Blue,1997,R,81,4.39,8.0,0
76,The Red Shoes,1948,Not Rated,133,4.37,8.1,0
77,Before Sunset,2004,R,80,4.35,8.1,90
78,City Lights,1931,G,87,4.34,8.5,99
79,Mirror,1975,N/A,107,4.34,-1.0,-1
80,Eternity and a Day,1998,N/A,133,4.33,-1.0,-1
81,It's a Wonderful Life,1946,PG,130,4.37,8.6,89
82,The Given Word,1962,N/A,98,4.14,-1.0,-1
83,Minari,2020,N/A,115,4.09,-1.0,-1
84,One Flew Over the Cuckoo's Nest,1975,R,133,4.36,8.7,83
85,Macario,1960,N/A,91,4.14,-1.0,-1
86,Werckmeister Harmonies,2000,N/A,139,4.3,-1.0,-1
87,Barry Lyndon,1975,PG,185,4.39,8.1,89
88,Late Spring,1949,N/A,110,4.32,-1.0,-1
89,The Seventh Seal,1957,Not Rated,96,4.34,8.2,88
90,M,1931,Passed,111,4.32,8.3,0
91,Memories of Murder,2003,Not Rated,131,4.41,8.1,82
92,The Lord of the Rings: The Two Towers,2002,PG-13,179,4.38,8.7,87
93,8½,1963,N/A,139,4.3,-1.0,-1
94,The Cranes Are Flying,1957,N/A,97,4.38,-1.0,-1
95,No Country for Old Men,2007,R,122,4.33,8.1,91
96,Singin' in the Rain,1952,G,103,4.32,8.3,99
97,"Rio, Zona Norte",1957,N/A,83,4.13,-1.0,-1
98,Nights of Cabiria,1957,Not Rated,110,4.35,8.1,0
99,Nomadland,2020,N/A,108,3.84,-1.0,-1
100,Edvard Munch,1974,N/A,221,4.26,-1.0,-1
101,Inglourious Basterds,2009,R,153,4.33,8.3,69
102,"Sherlock, Jr.",1924,Passed,45,4.36,8.2,0
103,Cleaners,2019,N/A,78,3.93,-1.0,-1
104,The Ascent,1977,N/A,111,4.36,-1.0,-1
105,War and Peace,1966,N/A,422,4.28,-1.0,-1
106,The Battle of Algiers,1966,Not Rated,121,4.37,8.1,96
107,Bicycle Thieves,1948,Not Rated,89,4.31,8.3,0
108,A Man Escaped,1956,N/A,101,4.33,-1.0,-1
109,The 400 Blows,1959,Not Rated,99,4.32,8.1,0
110,Taxi Driver,1976,R,114,4.18,8.3,94
111,Lawrence of Arabia,1962,Approved,228,4.35,8.3,100
112,Fight Club,1999,R,139,4.27,8.8,66
113,Se7en,1995,R,127,4.32,8.6,65
114,Army of Shadows,1969,N/A,145,4.32,-1.0,-1
115,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,N/A,95,4.31,-1.0,-1
116,Casablanca,1942,PG,102,4.28,8.5,100
117,All About Eve,1950,Passed,139,4.33,8.2,98
118,Chungking Express,1994,PG-13,103,4.3,8.1,77
119,Love Exposure,2008,N/A,237,4.35,-1.0,-1
120,I Am Cuba,1964,N/A,140,4.34,-1.0,-1
121,Incendies,2010,R,131,4.39,8.3,80
122,A Separation,2011,PG-13,123,4.36,8.3,95
123,Wild Strawberries,1957,Not Rated,91,4.33,8.2,88
124,Modern Times,1936,G,87,4.27,8.5,96
125,Napoleon,1927,N/A,333,4.23,-1.0,-1
126,Children of Paradise,1945,N/A,191,4.24,-1.0,-1
127,The Second Mother,2015,N/A,112,4.08,-1.0,-1
128,Mommy,2014,R,138,4.31,8.1,74
129,Yojimbo,1961,Not Rated,110,4.3,8.2,0
130,The Fifth Seal,1976,N/A,107,4.28,-1.0,-1
131,Star Wars,1977,PG,121,4.18,8.6,90
132,Date Wine,1998,N/A,108,4.01,-1.0,-1
133,Citizen Kane,1941,PG,119,4.22,8.3,100
134,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,N/A,202,4.25,-1.0,-1
135,The Sacrifice,1986,N/A,149,4.29,-1.0,-1
136,The Lion King,1994,G,89,4.21,8.5,88
137,Three Colours: Red,1994,R,100,4.34,8.1,100
138,They Don't Wear Black Tie,1981,N/A,122,4.06,-1.0,-1
139,Landscape in the Mist,1988,N/A,125,4.31,-1.0,-1
140,The Night of the Hunter,1955,N/A,93,4.27,-1.0,-1
141,The Wages of Fear,1953,Not Rated,148,4.31,8.1,85
142,Brief Encounter,1945,N/A,86,4.3,-1.0,-1
143,Back to the Future,1985,PG,116,4.2,8.5,87
144,Fargo,1996,R,98,4.23,8.1,85
145,The Best of Youth,2003,N/A,366,4.26,-1.0,-1
146,The Great Dictator,1940,Passed,125,4.3,8.4,0
147,Manoel’s Destinies,1984,N/A,152,4.09,-1.0,-1
148,Red Beard,1965,N/A,185,4.3,-1.0,-1
149,Chinatown,1974,R,130,4.29,8.1,92
150,La Dolce Vita,1960,N/A,176,4.27,-1.0,-1
151,The Third Man,1949,Approved,104,4.27,8.1,97
152,The Life and Death of Colonel Blimp,1943,N/A,163,4.2,-1.0,-1
153,The Young Girls of Rochefort,1967,N/A,126,4.29,-1.0,-1
154,Vertigo,1958,PG,128,4.24,8.3,100
155,Still Walking,2008,N/A,114,4.31,-1.0,-1
156,Children of Men,2006,N/A,109,4.3,-1.0,-1
157,Rocco and His Brothers,1960,N/A,178,4.26,-1.0,-1
158,A Special Day,1977,N/A,106,4.25,-1.0,-1
159,Eternal Sunshine of the Spotless Mind,2004,R,108,4.24,8.3,89
160,Terminator 2: Judgment Day,1991,R,137,4.28,8.5,75
161,To Be or Not to Be,1942,Passed,99,4.28,8.2,86
162,Once Upon a Time in America,1984,R,229,4.21,8.4,0
163,Sunrise: A Song of Two Humans,1927,N/A,94,4.2,-1.0,-1
164,Raging Bull,1980,R,129,4.25,8.2,89
165,Funeral Parade of Roses,1969,N/A,105,4.29,-1.0,-1
166,Ugetsu,1953,N/A,96,4.24,-1.0,-1
167,Tampopo,1985,N/A,115,4.29,-1.0,-1
168,The Pianist,2002,R,150,4.35,8.5,85
169,Aparajito,1956,N/A,110,4.2,-1.0,-1
170,Moonlight,2016,N/A,111,4.2,-1.0,-1
171,Amadeus,1984,R,161,4.31,8.3,88
172,Metropolis,1927,Not Rated,149,4.26,8.3,98
173,Wings of Desire,1987,N/A,128,4.3,-1.0,-1
174,The Street Player,1983,N/A,109,3.98,-1.0,-1
175,Where Is the Friend's House?,1987,N/A,83,4.33,-1.0,-1
176,Little Women,2019,N/A,135,4.12,-1.0,-1
177,La Notte,1961,N/A,122,4.25,-1.0,-1
178,Toy Story,1995,G,81,4.13,8.3,95
179,Dog Day Afternoon,1975,N/A,125,4.31,-1.0,-1
180,Your Name.,2016,PG,106,4.21,8.4,79
181,Raiders of the Lost Ark,1981,PG,115,4.16,8.4,85
182,Mulholland Drive,2001,R,147,4.25,8.0,85
183,An Autumn Afternoon,1962,N/A,114,4.21,-1.0,-1
184,Shoplifters,2018,R,120,4.29,8.0,93
185,Doomed Love,1978,N/A,270,3.9,-1.0,-1
186,The Big City,1963,N/A,136,4.2,-1.0,-1
187,Soul,2020,N/A,101,3.95,-1.0,-1
188,Sweet Smell of Success,1957,Approved,97,4.23,8.1,100
189,Paper Moon,1973,PG,102,4.31,8.1,77
190,Howl's Moving Castle,2004,PG,119,4.31,8.2,80
191,The Young and the Damned,1950,N/A,77,4.17,-1.0,-1
192,Kit Kat,1991,N/A,128,4.04,-1.0,-1
193,A Matter of Life and Death,1946,N/A,104,4.22,-1.0,-1
194,Make Way for Tomorrow,1937,N/A,92,4.21,-1.0,-1
195,An Elephant Sitting Still,2018,N/A,234,4.31,-1.0,-1
196,Coco,2017,PG,105,4.12,8.4,81
197,Solaris,1972,PG,167,4.25,8.1,90
198,Rashomon,1950,Not Rated,88,4.23,8.2,98
199,Marketa Lazarová,1967,N/A,166,4.17,-1.0,-1
200,Nostalgia,1983,N/A,126,4.25,-1.0,-1
201,Raise the Red Lantern,1991,PG,125,4.27,8.1,0
202,My Neighbor Totoro,1988,G,86,4.19,8.2,86
203,Double Indemnity,1944,Passed,107,4.26,8.3,95
204,The Treasure of the Sierra Madre,1948,Passed,126,4.27,8.2,98
205,Early Summer,1951,N/A,125,4.17,-1.0,-1
206,Z,1969,N/A,127,4.28,-1.0,-1
207,The Departed,2006,R,151,4.29,8.5,85
208,Akira,1988,N/A,124,4.27,-1.0,-1
209,"La Commune (Paris, 1871)",2001,N/A,345,4.26,-1.0,-1
210,Throne of Blood,1957,Not Rated,108,4.26,8.1,0
211,Inception,2010,PG-13,148,4.18,8.8,74
212,Il Sorpasso,1962,N/A,105,4.17,-1.0,-1
213,The Grand Budapest Hotel,2014,R,100,4.25,8.1,88
214,Rififi,1955,Not Rated,118,4.23,8.2,97
215,Mad Max: Fury Road,2015,R,121,4.17,8.1,90
216,The Land,1970,N/A,129,4.07,-1.0,-1
217,All That Jazz,1979,N/A,123,4.29,-1.0,-1
218,Le Samouraï,1967,GP,105,4.25,8.1,0
219,A Clockwork Orange,1971,R,137,4.13,8.3,77
220,Life Is Beautiful,1997,PG-13,116,4.32,8.6,0
221,Umberto D.,1952,N/A,91,4.22,-1.0,-1
222,A Moment of Innocence,1996,N/A,78,4.19,-1.0,-1
223,We All Loved Each Other So Much,1974,N/A,124,4.16,-1.0,-1
224,Witness for the Prosecution,1957,Approved,116,4.32,8.4,0
225,Opening Night,1977,N/A,144,4.23,-1.0,-1
226,Paddington 2,2017,N/A,104,4.18,-1.0,-1
227,Ace in the Hole,1951,Approved,111,4.24,8.1,72
228,A Face in the Crowd,1957,N/A,125,4.16,-1.0,-1
229,Boogie Nights,1997,N/A,156,4.22,-1.0,-1
230,Winter Light,1963,N/A,80,4.23,-1.0,-1
231,Network,1976,R,122,4.26,8.1,83
232,The New Land,1972,N/A,204,4.21,-1.0,-1
233,Tokyo Twilight,1957,N/A,141,4.18,-1.0,-1
234,Saving Private Ryan,1998,R,169,4.23,8.6,91
235,Rosemary's Baby,1968,N/A,138,4.2,-1.0,-1
236,The Hunt,2012,R,116,4.29,8.3,77
237,The Iron Giant,1999,PG,86,4.24,8.0,85
238,Cléo from 5 to 7,1962,N/A,90,4.2,-1.0,-1
239,Himala,1982,N/A,124,3.86,-1.0,-1
240,Nobody Knows,2004,N/A,141,4.31,-1.0,-1
241,Pan's Labyrinth,2006,R,118,4.17,8.2,98
242,In a Lonely Place,1950,N/A,94,4.19,-1.0,-1
243,Grand Illusion,1937,N/A,114,4.18,-1.0,-1
244,"Life, and Nothing More...",1992,N/A,95,4.22,-1.0,-1
245,Manila in the Claws of Light,1975,N/A,127,4.13,-1.0,-1
246,Eureka,2000,N/A,218,4.23,-1.0,-1
247,Samurai Rebellion,1967,N/A,121,4.22,-1.0,-1
248,Land of Fear,2000,N/A,134,3.96,-1.0,-1
249,Get Out,2017,N/A,104,4.16,-1.0,-1
250,"Throw Away Your Books, Rally in the Streets",1971,N/A,137,4.15,-1.0,-1
251,La Belle Noiseuse,1991,N/A,238,4.16,-1.0,-1
252,The Shop on Main Street,1965,N/A,128,4.18,-1.0,-1
253,Good Will Hunting,1997,R,127,4.28,8.3,70
254,Pastoral: To Die in the Country,1974,N/A,101,4.17,-1.0,-1
255,Demons,1971,N/A,134,4.18,-1.0,-1
256,The Emigrants,1971,N/A,192,4.17,-1.0,-1
257,The Face of Another,1966,N/A,124,4.2,-1.0,-1
258,Pyaasa,1957,N/A,146,4.1,-1.0,-1
259,Underground,1995,Not Rated,170,4.23,8.1,0
260,Who's Afraid of Virginia Woolf?,1966,N/A,131,4.23,-1.0,-1
261,The Weeping Meadow,2004,N/A,169,4.26,-1.0,-1
262,North by Northwest,1959,Approved,136,4.19,8.3,98
263,Yearning,1964,N/A,98,4.2,-1.0,-1
264,Gangs of Wasseypur – Part 2,2012,N/A,160,4.09,-1.0,-1
265,The Best Years of Our Lives,1946,N/A,171,4.19,-1.0,-1
266,Heat,1995,R,170,4.26,8.2,76
267,Some Like It Hot,1959,Passed,122,4.23,8.2,98
268,The Devils,1971,N/A,114,4.18,-1.0,-1
269,Reservoir Dogs,1992,R,99,4.15,8.3,79
270,The King of Comedy,1982,N/A,109,4.24,-1.0,-1
271,Once Upon a Time in Anatolia,2011,N/A,157,4.11,-1.0,-1
272,Magnolia,1999,R,189,4.22,8.0,77
273,The General,1926,Passed,79,4.19,8.1,0
274,PlayTime,1967,N/A,115,4.19,-1.0,-1
275,Das Boot,1981,R,150,4.27,8.3,86
276,Aliens,1986,R,137,4.15,8.3,84
277,Invisible Life,2019,N/A,140,4.03,-1.0,-1
278,The Big Lebowski,1998,R,117,4.14,8.1,71
279,Kill Bill: Vol. 1,2003,R,111,4.18,8.0,83
280,Céline and Julie Go Boating,1974,N/A,193,4.12,-1.0,-1
281,Hope,2013,N/A,122,4.11,-1.0,-1
282,Taste of Cherry,1997,N/A,99,4.3,-1.0,-1
283,John Denver Trending,2019,N/A,96,3.72,-1.0,-1
284,Happy Together,1997,N/A,96,4.22,-1.0,-1
285,The Matrix,1999,R,136,4.16,8.7,73
286,Farewell My Concubine,1992,N/A,171,4.25,-1.0,-1
287,Entranced Earth,1967,N/A,106,3.88,-1.0,-1
288,Cries and Whispers,1972,R,95,4.19,8.1,0
289,Time of the Gypsies,1988,N/A,142,4.15,-1.0,-1
290,Kwaidan,1964,N/A,183,4.19,-1.0,-1
291,The Tale of the Princess Kaguya,2013,PG,137,4.23,8.0,89
292,"São Paulo, Incorporated",1965,N/A,111,3.96,-1.0,-1
293,The Kid,1921,Passed,68,4.19,8.3,0
294,The Life of Oharu,1952,N/A,136,4.15,-1.0,-1
295,The Red Light Bandit,1968,N/A,92,3.9,-1.0,-1
296,Good Morning,1959,N/A,94,4.17,-1.0,-1
297,Nayakan,1987,N/A,156,4.14,-1.0,-1
298,Pixote,1980,N/A,128,4.15,-1.0,-1
299,The Exterminating Angel,1962,Not Rated,94,4.15,8.1,0
300,"Pretty Village, Pretty Flame",1996,N/A,130,4.13,-1.0,-1
301,The Holy Mountain,1973,N/A,114,4.15,-1.0,-1
302,Devils on the Doorstep,2000,N/A,139,4.24,-1.0,-1
303,Prisoners,2013,R,153,4.28,8.1,70
304,WALL·E,2008,G,98,4.18,8.4,95
305,La Flor,2018,N/A,803,4.03,-1.0,-1
306,Charulata,1964,N/A,117,4.12,-1.0,-1
307,The Man Who Shot Liberty Valance,1962,Not Rated,123,4.22,8.1,94
308,The Lives of Others,2006,R,137,4.26,8.4,89
309,Memento,2000,R,113,4.17,8.4,80
310,"Synecdoche, New York",2008,N/A,124,4.19,-1.0,-1
311,The Cremator,1969,N/A,101,4.23,-1.0,-1
312,Ali: Fear Eats the Soul,1974,N/A,93,4.17,-1.0,-1
313,Love Streams,1984,N/A,141,4.14,-1.0,-1
314,Bacurau,2019,N/A,131,3.89,-1.0,-1
315,Evolution of a Filipino Family,2004,N/A,647,4.09,-1.0,-1
316,Son of the White Mare,1981,N/A,86,4.17,-1.0,-1
317,The Man Who Sleeps,1974,N/A,77,4.18,-1.0,-1
318,When a Woman Ascends the Stairs,1960,N/A,111,4.14,-1.0,-1
319,Winter Sleep,2014,Not Rated,196,4.14,8.1,88
320,Extraordinary Stories,2008,N/A,242,4.1,-1.0,-1
321,Il Posto,1961,N/A,98,4.12,-1.0,-1
322,Jurassic Park,1993,PG-13,127,4.11,8.1,68
323,Day of Wrath,1943,N/A,97,4.15,-1.0,-1
324,The Bridge on the River Kwai,1957,PG,161,4.22,8.1,87
325,Dersu Uzala,1975,N/A,141,4.2,-1.0,-1
326,The Mother and the Whore,1973,N/A,219,4.14,-1.0,-1
327,Full Metal Jacket,1987,R,117,4.2,8.3,76
328,Investigation of a Citizen Above Suspicion,1970,N/A,111,4.12,-1.0,-1
329,Sorcerer,1977,N/A,121,4.22,-1.0,-1
330,On the Waterfront,1954,Approved,108,4.17,8.1,91
331,Short Term 12,2013,R,96,4.16,8.0,82
332,The Naked Island,1960,N/A,97,4.14,-1.0,-1
333,The Turin Horse,2011,N/A,155,4.17,-1.0,-1
334,The Prestige,2006,PG-13,130,4.22,8.5,66
335,Secrets & Lies,1996,R,142,4.22,8.0,91
336,Léon: The Professional,1994,R,111,4.03,8.5,64
337,Fantastic Mr. Fox,2009,N/A,87,4.26,-1.0,-1
338,Django Unchained,2012,R,165,4.26,8.4,81
339,Who Killed Captain Alex?,2010,N/A,68,4.15,-1.0,-1
340,Hiroshima Mon Amour,1959,N/A,92,4.17,-1.0,-1
341,Blade Runner,1982,R,118,4.1,8.1,84
342,Die Hard,1988,R,132,4.07,8.2,72
343,Cria!,1976,N/A,105,4.14,-1.0,-1
344,The Elephant Man,1980,PG,124,4.23,8.1,78
345,Interstellar,2014,PG-13,169,4.31,8.6,74
346,Three Colours: Blue,1993,N/A,98,4.17,-1.0,-1
347,Day for Night,1973,N/A,116,4.16,-1.0,-1
348,Possession,1981,N/A,124,4.1,-1.0,-1
349,The Conversation,1974,N/A,113,4.17,-1.0,-1
350,Roma,2018,N/A,135,4.11,-1.0,-1
351,Nashville,1975,N/A,160,4.14,-1.0,-1
352,The Last Picture Show,1971,N/A,119,4.18,-1.0,-1
353,Terrorizers,1986,N/A,109,4.11,-1.0,-1
354,Before Midnight,2013,N/A,109,4.09,-1.0,-1
355,Mary and Max,2009,Not Rated,92,4.21,8.1,0
356,Call Me by Your Name,2017,N/A,132,3.87,-1.0,-1
357,Stand by Me,1986,R,89,4.14,8.1,75
358,The Florida Project,2017,N/A,112,4.11,-1.0,-1
359,In the Heat of the Sun,1994,N/A,134,4.09,-1.0,-1
360,Ivan's Childhood,1962,Not Rated,95,4.18,8.1,0
361,"Rome, Open City",1945,N/A,103,4.14,-1.0,-1
362,Movie Dementia,1986,N/A,90,3.94,-1.0,-1
363,Trainspotting,1996,R,94,4.19,8.1,83
364,The Spirit of the Beehive,1973,N/A,99,4.14,-1.0,-1
365,The Conformist,1970,N/A,108,4.17,-1.0,-1
366,Who's Singin' Over There?,1980,N/A,86,4.05,-1.0,-1
367,Canoa: A Shameful Memory,1976,N/A,116,4.08,-1.0,-1
368,Forrest Gump,1994,PG-13,142,4.12,8.8,82
369,Blade Runner 2049,2017,R,164,4.13,8.0,81
370,El sur,1983,N/A,95,4.11,-1.0,-1
371,Happy Hour,2015,N/A,317,4.2,-1.0,-1
372,The Truman Show,1998,PG,103,4.2,8.1,90
373,Fallen Angels,1995,N/A,98,4.2,-1.0,-1
374,The Night,1992,N/A,116,3.8,-1.0,-1
375,Anatomy of a Murder,1959,N/A,161,4.2,-1.0,-1
376,"4 Months, 3 Weeks and 2 Days",2007,N/A,114,4.21,-1.0,-1
377,Out 1,1971,N/A,743,4.05,-1.0,-1
378,Jacquot,1991,N/A,118,4.11,-1.0,-1
379,McCabe & Mrs. Miller,1971,N/A,120,4.12,-1.0,-1
380,Judgment at Nuremberg,1961,Approved,190,4.21,8.2,0
381,To Live,1994,N/A,133,4.16,-1.0,-1
382,Late Autumn,1960,N/A,128,4.08,-1.0,-1
383,Shame,1968,N/A,103,4.16,-1.0,-1
384,Amour,2012,N/A,127,4.21,-1.0,-1
385,The Story of the Last Chrysanthemum,1939,N/A,144,4.11,-1.0,-1
386,The Nightingale's Prayer,1959,N/A,123,4.02,-1.0,-1
387,The Incredibles,2004,PG,115,4.07,8.0,90
388,Monty Python and the Holy Grail,1975,PG,91,4.13,8.2,91
389,The Witness,1969,N/A,108,4.05,-1.0,-1
390,Floating Weeds,1959,N/A,115,4.09,-1.0,-1
391,Touch of Evil,1958,N/A,111,4.16,-1.0,-1
392,Poetry,2010,N/A,139,4.18,-1.0,-1
393,The Umbrellas of Cherbourg,1964,N/A,93,4.14,-1.0,-1
394,Nothing But a Man,1964,N/A,95,4.03,-1.0,-1
395,Le Cercle Rouge,1970,N/A,140,4.17,-1.0,-1
396,The Long Goodbye,1973,N/A,112,4.17,-1.0,-1
397,The Heiress,1949,N/A,115,4.11,-1.0,-1
398,Dead Poets Society,1989,PG,128,4.23,8.1,79
399,Two in the Shadow,1967,N/A,108,4.11,-1.0,-1
400,The Celebration,1998,R,105,4.26,8.0,82
401,Portrait of a Young Girl at the End of the 60s in Brussels,1994,N/A,60,4.13,-1.0,-1
402,This Transient Life,1970,N/A,143,4.08,-1.0,-1
403,Embrace of the Serpent,2015,N/A,125,4.17,-1.0,-1
404,"My Son, the Hero",1961,N/A,97,3.82,-1.0,-1
405,Ode to Nothing,2018,N/A,92,3.78,-1.0,-1
406,My Night at Maud's,1969,N/A,110,4.13,-1.0,-1
407,All the President's Men,1976,N/A,138,4.15,-1.0,-1
408,3 Women,1977,N/A,124,4.12,-1.0,-1
409,Unforgiven,1992,R,130,4.19,8.2,85
410,Diabolique,1955,N/A,117,4.16,-1.0,-1
411,"Aguirre, the Wrath of God",1972,N/A,95,4.14,-1.0,-1
412,1917,2019,R,119,4.1,8.3,78
413,The Shop Around the Corner,1940,Not Rated,99,4.14,8.1,96
414,The Green Ray,1986,N/A,98,4.15,-1.0,-1
415,Millennium Actress,2001,N/A,87,4.21,-1.0,-1
416,The Double Life of Véronique,1991,N/A,98,4.13,-1.0,-1
417,The Extras,1993,N/A,100,3.77,-1.0,-1
418,Malcolm X,1992,N/A,202,4.19,-1.0,-1
419,Du côté d'Orouët,1971,N/A,162,3.93,-1.0,-1
420,The Travelling Players,1975,N/A,222,4.12,-1.0,-1
421,Au Revoir les Enfants,1987,N/A,105,4.16,-1.0,-1
422,Kiki's Delivery Service,1989,N/A,103,4.12,-1.0,-1
423,The Disappearance of Haruhi Suzumiya,2010,N/A,162,4.21,-1.0,-1
424,Blindspotting,2018,N/A,95,4.1,-1.0,-1
425,The Green Mile,1999,R,189,4.2,8.6,61
426,The Night of Counting the Years,1969,N/A,102,4.02,-1.0,-1
427,What Ever Happened to Baby Jane?,1962,Passed,135,4.14,8.1,75
428,The Bitter Tears of Petra von Kant,1972,N/A,124,4.08,-1.0,-1
429,"Black God, White Devil",1964,N/A,120,3.78,-1.0,-1
430,The Crucified Lovers,1954,N/A,102,4.12,-1.0,-1
431,Out of the Past,1947,N/A,97,4.1,-1.0,-1
